Channel Islands,CHI,"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,15.7795736380103,14.4211300546267,12.3266320128488,11.9311788973622,12.2292993630573,13.1933627783586,12.8929074979482,11.4310489587491,10.970861550911,11.1385113392339,10.0622726431963,10.0109284507898,10.1168036228233,10.2194980439915
Channel Islands,CHI,"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,11.8869304723422,12.6939001512359,12.4136621490114,11.821790223778,10.9404271262645,9.90746865242779,9.77840753652874,8.93287269624104,8.30442482571984,8.23918487507408,8.47771132622233,8.47393243061603,8.44900771934701,8.21466115958846
Channel Islands,CHI,Net migration,SM.POP.NETM,833,896,852,108,1135,864,-375,60,817,737,1396,1362,1242,900
Channel Islands,CHI,Population growth (annual %),SP.POP.GROW,1.0821896288202,0.929073008597964,0.720190186801496,0.104755436927051,0.975896662419292,0.981321462903155,0.0652574358742919,0.341241968130063,0.815852624411776,0.77530181672538,0.791085579747361,1.00023446187106,0.913338674061597,0.80516754536027
Chile,CHL,"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,32.357,28.76,25.477,23.294,22.521,22.19,19.155,15.963,14.169,14.327,13.211,11.834,11.788,11.755
Chile,CHL,"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,9.755,8.365,6.806,6.212,5.732,5.625,5.352,4.959,5.301,5.962,6.121,7.221,7.426,7.199
Chile,CHL,Net migration,SM.POP.NETM,-34847,-36078,-30556,-30275,-24137,-5253,2490,5790,14336,26064,55709,98439,113709,-66850
Chile,CHL,Population growth (annual %),SP.POP.GROW,1.90679370428949,1.68596543180719,1.58004267962206,1.45340087643096,1.45983532243265,1.61875060800777,1.44005433972801,1.14904172536735,0.97751001174206,1.0090337555584,1.02942555374852,1.36064363430941,0.994344898418259,0.565514127974157
Croatia,HRV,"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,16.6,13.8,14.9,14.8,13.3,11.6,10.9,9.8,9.563,9.8,8.9,8.9,9.4,8.8
Croatia,HRV,"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,9.3,10,10.1,10.9,11.1,10.9,10.9,11.2,11.656,11.8,12.9,14.1,16.2,14.8
Croatia,HRV,Net migration,SM.POP.NETM,-420,-4120,-6653,5588,15822,-7183,-52246,-50791,-3834,-5624,-13408,-11592,-10402,-2000
Croatia,HRV,Population growth (annual %),SP.POP.GROW,0.657318059279203,0.471663946773186,0.475900351929317,0.108846981129012,0.450494712765103,0.211805086145315,-0.690119513541903,-0.986434858645568,0.128732789322745,-0.226821270818422,-0.824099163913538,-0.433210220837755,-4.25713872008371,-0.603521952188318
Curacao,CUW,"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,28.593,24.646,21.139,20.556,20.878,20.212,17.185,15.371,14.673,13.6,11.9,8.7,8.6,8.2
Curacao,CUW,"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,7.368,6.707,6.34,6.337,6.586,6.864,7.349,8.084,8.49,8.4,8.8,9.3,11.1,9.3
Curacao,CUW,Net migration,SM.POP.NETM,-1031,-1044,-1889,-1997,-2427,-2447,-3075,-2632,1460,1499,844,997,502,515
Curacao,CUW,Population growth (annual %),SP.POP.GROW,1.57819186815029,1.50218612026628,0.523061566354982,0.128425253885878,0.506154022821026,-1.05153583877637,0.351314684120746,-4.07538613162288,2.55007380740239,1.26551415533004,1.31959390251523,-1.59676619476798,-1.6777912474095,-1.56965834139861
